Instante,Posicao
0.0,0.0
0.071,0.009
0.145,0.018
0.2,0.023
0.271,0.032
0.345,0.042
0.4,0.047
0.471,0.056
0.545,0.065
0.6,0.07
0.671,0.079
0.745,0.088
0.8,0.094
0.871,0.102
0.945,0.112
1.0,0.117
1.071,0.126
1.145,0.135
1.2,0.141
1.271,0.149
1.346,0.159
1.4,0.164
1.472,0.173
1.548,0.183
1.6,0.188
1.671,0.196
1.748,0.207
1.8,0.211
1.871,0.22
1.949,0.231
2.071,0.256
2.071,0.256
2.149,0.267
2.2,0.271
2.271,0.28
2.349,0.291
2.4,0.295
2.471,0.304
2.549,0.314
2.6,0.319
2.671,0.328
2.799,0.356
2.8,0.356
2.871,0.365
3.0,0.393
3.0,0.393
3.071,0.402
3.199,0.431
3.2,0.431
3.271,0.439
3.399,0.468
3.4,0.468
3.471,0.477
3.598,0.505
3.6,0.505
3.671,0.514
3.799,0.543
3.8,0.543
3.871,0.552
4.0,0.582
4.0,0.582
4.071,0.591
4.201,0.621
4.201,0.621
4.271,0.63
4.4,0.659
4.401,0.659
4.471,0.668
4.6,0.697
4.601,0.697
4.671,0.706
4.801,0.736
4.801,0.736
4.871,0.745
5.001,0.775
5.001,0.775
5.071,0.784
5.2,0.813
5.201,0.813
5.271,0.822
5.4,0.852
5.402,0.852
5.471,0.86
5.6,0.89
5.602,0.89
5.671,0.898
5.8,0.928
5.802,0.928
5.871,0.936
6.001,0.966
6.002,0.966
6.071,0.975
6.201,1.005
6.202,1.005
6.271,1.013
6.4,1.043
6.402,1.043
6.471,1.051
6.6,1.081
6.603,1.081
6.671,1.089
6.8,1.119
6.804,1.119
6.871,1.127
7.0,1.156
7.004,1.156
7.085,1.168
7.2,1.191
7.206,1.191
7.271,1.199
7.4,1.228
7.406,1.229
7.471,1.236
7.6,1.266
7.607,1.266
7.671,1.273
7.8,1.303
7.808,1.303
7.871,1.31
8.001,1.34
8.008,1.34
8.072,1.347
8.2,1.376
8.208,1.376
8.271,1.383
8.4,1.413
8.408,1.413
8.471,1.42
8.6,1.45
8.608,1.45
8.676,1.458
8.8,1.485
8.808,1.486
8.871,1.493
9.0,1.522
9.008,1.522
9.071,1.529
9.2,1.559
9.208,1.559
9.271,1.566
9.4,1.596
9.409,1.596
9.471,1.603
9.6,1.632
9.61,1.632
9.672,1.639
9.8,1.668
9.81,1.669
9.871,1.675
10.0,1.705
10.011,1.705
10.071,1.711
10.2,1.741
10.21,1.741
10.271,1.748
10.4,1.777
10.41,1.777
10.471,1.784
10.6,1.814
10.61,1.814
10.671,1.82
10.8,1.85
10.811,1.85
10.871,1.857
