Instante(s),PosicaoAngular(graus)
0.0,0.0
0.08,29.948
0.167,62.516
0.228,85.352
0.29,108.562
0.36,134.766
0.444,166.211
0.536,200.652
0.57,213.38
0.65,243.328
0.751,281.137
0.791,296.111
0.86,321.941
0.935,350.017
1.071,400.929
1.074,402.052
1.145,428.631
1.21,452.964
1.28,479.168
1.368,512.111
1.446,541.31
1.491,558.156
1.566,586.232
1.66,621.421
1.701,636.769
1.774,664.097
1.851,692.922
1.954,731.48
2.796,1046.683
2.798,1047.432
2.8,1048.18
2.801,1048.555
2.803,1049.303
2.815,1053.795
2.817,1054.544
2.82,1055.667
2.822,1056.416
2.824,1057.165
2.826,1057.913
2.828,1058.662
2.83,1059.411
2.909,1088.984
2.992,1120.055
3.067,1148.132
3.132,1172.464
3.223,1206.53
3.258,1219.633
3.34,1250.329
3.407,1275.411
3.451,1291.882
3.55,1328.943
3.62,1355.147
3.66,1370.121
3.734,1397.823
3.845,1439.376
3.923,1468.575
3.951,1479.057
4.024,1506.385
4.146,1552.055
4.166,1559.542
4.235,1585.373
4.347,1627.3
4.37,1635.91
4.44,1662.114
4.53,1695.806
4.649,1740.354
4.651,1741.102
4.733,1771.799
4.843,1812.977
4.863,1820.464
4.945,1851.161
5.025,1881.109
5.07,1897.955
5.158,1930.898
5.237,1960.471
5.327,1994.163
5.358,2005.768
5.438,2035.716
5.527,2069.033
5.56,2081.386
5.682,2127.057
5.706,2136.042
5.77,2160.0
