id, initial_cell_list
88, [0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 1, 1, 2, 2, 1]
94, [0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 1]
112, [0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1]
159, [0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 0]
180, [0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 0, 2, 1, 1, 2, 2, 1]
186, [0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 2, 1, 0, 2, 2, 1]
189, [0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0]
208, [0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1]
243, [0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 0, 2, 1, 1, 2, 2, 0]
280, [0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 1, 1, 2, 2, 1]
304, [0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1]
310, [0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 1, 0, 2, 2, 1]
346, [0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 0, 2, 1, 0, 2, 2, 1]
373, [0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 1, 2, 1, 0, 2, 2, 0]
411, [0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 0, 2, 1, 1, 2, 2, 0]
424, [0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 0, 2, 0, 1, 2, 1, 1, 2, 2, 1]
466, [0, 0, 1, 0, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 0, 2, 1, 0, 2, 2, 1]
487, [0, 0, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 1, 2, 0, 2, 0, 1, 2, 1, 1, 2, 2, 0]
493, [0, 0, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0]
